"codpais","desmarca","aniocampana","cuc","bpcs","codsap","codtipooferta","vincnumoferta","vincodestrategia","descripcuc","pup","desproducto","nrogrupo","precionormalmn","preciooferta","uudemandadas","realuuvendidas","estuuvendidas","ventanetamndemandada","ventanetamnreal","ventanetamnest","ventanetadoldemd","ventanetadolreal","ventanetadolest","costoreposiciondolreal","costoreposiciondolest","costodereposicionuntdolreal","costodereposicionuntdolest","realnropedidos","estnropedidos","realtcpromedio"
PE,CYZONE,"201901","200044012","334019017","200090430         ","015",8620,"001",CZ DANCING EDP 100 ML,0,CZ DANCING EDP 100 ML,,65.0000,41.9000,910,910,867,23513.59000,23513.59000,22473.666,7001,7001.9266,6670.722,1454,1385.7261,1.5983,1.5983,120352,115272,3
PE,CYZONE,"201901","200044012","334019017","200090430         ","015",1343,"998",CZ DANCING EDP 100 ML,0,CZ DANCING EDP 100 ML,0,65.0000,41.9000,910,910,867,23513.59000,23513.59000,22473.666,7001,7001.9266,6670.722,1454,1385.7261,1.5983,1.5983,120352,115272,3
PE,L'BEL,"201901",P0261052003,"261052053","200089537         ","003",1343,"998",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ COCOA MOUSSE,0,58.0000,19.9600,176,176,139,3087.48000,3087.48000,2697.544,919,919.3963,800.695,184,145.4635,1.0465,1.0465,120352,115272,3
PE,L'BEL,"201901",P0261052003,"261052053","200089537         ","003",16514,"001",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ COCOA MOUSSE,,58.0000,19.9600,176,176,139,3087.48000,3087.48000,2697.544,919,919.3963,800.695,184,145.4635,1.0465,1.0465,120352,115272,3
PE,L'BEL,"201901",P0261052003,"261052053","200089537         ","003",15728,"001",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ COCOA MOUSSE,,58.0000,22.9000,176,176,139,3087.48000,3087.48000,2697.544,919,919.3963,800.695,184,145.4635,1.0465,1.0465,120352,115272,3
PE,L'BEL,"201901",P0261052003,"261052053","200089537         ","003",1909,"999",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ COCOA MOUSSE,0,58.0000,22.9000,176,176,139,3087.48000,3087.48000,2697.544,919,919.3963,800.695,184,145.4635,1.0465,1.0465,120352,115272,3
PE,L'BEL,"201901",P0261052003,"261052053","200089537         ","003",1909,"999",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ COCOA MOUSSE,0,58.0000,19.9600,176,176,139,3087.48000,3087.48000,2697.544,919,919.3963,800.695,184,145.4635,1.0465,1.0465,120352,115272,3
PE,L'BEL,"201901",P0261052003,"261052053","200089537         ","003",1343,"998",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ COCOA MOUSSE,0,58.0000,22.9000,176,176,139,3087.48000,3087.48000,2697.544,919,919.3963,800.695,184,145.4635,1.0465,1.0465,120352,115272,3
PE,ESIKA,"201901",XXXXXXXXX,"592889079","210089152         ","015",1343,"998",N/A,0,FI CADENA PUL,0,38.0000,24.9000,504,504,78,7871.22000,7871.22000,1201.531,2343,2343.9085,356.642,548,84.9186,1.0887,1.0887,120352,115272,3
PE,ESIKA,"201901",XXXXXXXXX,"592889079","210089152         ","015",8146,"001",N/A,0,FI CADENA PUL,,38.0000,24.9000,504,504,78,7871.22000,7871.22000,1201.531,2343,2343.9085,356.642,548,84.9186,1.0887,1.0887,120352,115272,3
PE,CYZONE,"201901","200092022","195025001","200092022         ","008",8395,"002",CZ MISEXY SHINE COL 200 ML,0,CZ MISEXY SHINE COL 200 ML,,40.0000,23.9000,768,768,184,11284.06000,11284.06000,2720.548,3360,3360.1912,807.523,777,186.2448,1.0122,1.0122,120352,115272,3
PE,CYZONE,"201901","200092022","195025001","200092022         ","008",1343,"998",CZ MISEXY SHINE COL 200 ML,0,CZ MISEXY SHINE COL 200 ML,0,40.0000,23.9000,768,768,184,11284.06000,11284.06000,2720.548,3360,3360.1912,807.523,777,186.2448,1.0122,1.0122,120352,115272,3
PE,ESIKA,"201901",P0210133000,"289052123","200085008         ","011",1343,"998",ES CFX LL BARRA 2GR,0,ES CFX LL ROJO SEDUCTOR,0,43.0000,19.9000,735,735,242,8604.74000,8604.74000,2979.266,2562,2562.3377,884.317,319,105.1732,0.4346,0.4346,120352,115272,3
PE,ESIKA,"201901","200014177","020019022","200090455         ","007",1343,"998",ES MOMENTOS EDP CC 50 ML,0,ES MOMENTOS EDP CC 50 ML,0,85.0000,54.9000,666,666,566,22874.49000,22874.49000,19223.372,6811,6811.6140,5705.957,1229,1045.1190,1.8465,1.8465,120352,115272,3
PE,ESIKA,"201901",P0292082007,"292089022","200086415         ","106",1922,"999",ES PRO MASC MEGA FULL SIZE 8G,0,ES E FULLSIZE F-R NEGRO-MARRON,0,50.0000,32.9000,49,49,94,803.50000,803.50000,1447.998,239,239.2679,429.800,36,69.8608,0.7432,0.7432,120352,115272,3
PE,ESIKA,"201901",P0292082007,"292089022","200086415         ","106",1922,"999",ES PRO MASC MEGA FULL SIZE 8G,0,ES E FULLSIZE F-R NEGRO-MARRON,0,50.0000,23.9500,49,49,94,803.50000,803.50000,1447.998,239,239.2679,429.800,36,69.8608,0.7432,0.7432,120352,115272,3
PE,ESIKA,"201901",P0292082007,"292089022","200086415         ","106",16271,"001",ES PRO MASC MEGA FULL SIZE 8G,0,ES E FULLSIZE F-R NEGRO-MARRON,,50.0000,23.9500,49,49,94,803.50000,803.50000,1447.998,239,239.2679,429.800,36,69.8608,0.7432,0.7432,120352,115272,3
PE,ESIKA,"201901",P0292082007,"292089022","200086415         ","106",8362,"001",ES PRO MASC MEGA FULL SIZE 8G,0,ES E FULLSIZE F-R NEGRO-MARRON,,50.0000,32.9000,49,49,94,803.50000,803.50000,1447.998,239,239.2679,429.800,36,69.8608,0.7432,0.7432,120352,115272,3
PE,ESIKA,"201901",P0292082007,"292089022","200086415         ","106",1343,"998",ES PRO MASC MEGA FULL SIZE 8G,0,ES E FULLSIZE F-R NEGRO-MARRON,0,50.0000,23.9500,49,49,94,803.50000,803.50000,1447.998,239,239.2679,429.800,36,69.8608,0.7432,0.7432,120352,115272,3
PE,ESIKA,"201901",P0292082007,"292089022","200086415         ","106",1343,"998",ES PRO MASC MEGA FULL SIZE 8G,0,ES E FULLSIZE F-R NEGRO-MARRON,0,50.0000,32.9000,49,49,94,803.50000,803.50000,1447.998,239,239.2679,429.800,36,69.8608,0.7432,0.7432,120352,115272,3
PE,L'BEL,"201901","200053740","280159004","200091211         ","015",1343,"998",LB KIT DE CEJAS 4.4 GR,0,LB EFP MULT CC KIT CEJAS 4.4 G,0,92.0000,64.0000,470,470,636,18506.50000,18506.50000,25181.286,5510,5510.9047,7474.408,878,1188.8112,1.8692,1.8692,120352,115272,3
PE,L'BEL,"201901","200053740","280159004","200091211         ","015",5452,"001",LB KIT DE CEJAS 4.4 GR,0,LB EFP MULT CC KIT CEJAS 4.4 G,,92.0000,64.0000,470,470,636,18506.50000,18506.50000,25181.286,5510,5510.9047,7474.408,878,1188.8112,1.8692,1.8692,120352,115272,3
PE,LBEL,"201901",P0280076005,"261055025","200093018         ","015",1343,"998",LB EFP POLV SUELTOS 12 G,0,LB POLV SUELTOS TRANSLUCIDE,0,88.0000,62.0000,119,119,87,4616.16000,4616.16000,3336.966,1374,1374.6099,990.490,311,227.5920,2.6160,2.6160,120352,115272,3
PE,LBEL,"201901",P0280076005,"261055025","200093018         ","015",5449,"001",LB EFP POLV SUELTOS 12 G,0,LB POLV SUELTOS TRANSLUCIDE,,88.0000,62.0000,119,119,87,4616.16000,4616.16000,3336.966,1374,1374.6099,990.490,311,227.5920,2.6160,2.6160,120352,115272,3
PE,ESIKA,"201901","200056246","008019019","200086432         ","015",8208,"001",ES EXPRESSION EDP CC 50 ML,0,ES EXPRESSION EDP CC 50 ML,,88.0000,56.9000,809,809,2264,28855.79000,28855.79000,79694.710,8592,8592.7382,23655.301,1794,5021.3256,2.2179,2.2179,120352,115272,3
PE,ESIKA,"201901","200056246","008019019","200086432         ","015",1343,"998",ES EXPRESSION EDP CC 50 ML,0,ES EXPRESSION EDP CC 50 ML,0,88.0000,56.9000,809,809,2264,28855.79000,28855.79000,79694.710,8592,8592.7382,23655.301,1794,5021.3256,2.2179,2.2179,120352,115272,3
PE,ESIKA,"201901",P0292062000,"292062088","200092408         ","015",8173,"001",ES PRO LL PERF MATCH 3ML-2.2G,0,ES PERFECT LL CAF� MISTERIO,,45.0000,28.9000,102,102,76,1831.17000,1831.17000,1358.790,545,545.2896,403.321,104,77.7860,1.0235,1.0235,120352,115272,3
PE,ESIKA,"201901",P0292062000,"292062088","200092408         ","015",1343,"998",ES PRO LL PERF MATCH 3ML-2.2G,0,ES PERFECT LL CAF� MISTERIO,0,45.0000,28.9000,102,102,76,1831.17000,1831.17000,1358.790,545,545.2896,403.321,104,77.7860,1.0235,1.0235,120352,115272,3
PE,CYZONE,"201901",P0132054001,"132054081","200084689         ","015",8549,"001",CY STUDIO LOOK SOMBRAS 2 GR,0,CY STUDIO SOMB SILVER,,38.0000,24.9000,138,138,52,2151.60000,2151.60000,801.020,640,640.7080,237.761,114,43.2744,0.8322,0.8322,120352,115272,3
PE,CYZONE,"201901",P0132054001,"132054081","200084689         ","015",1343,"998",CY STUDIO LOOK SOMBRAS 2 GR,0,CY STUDIO SOMB SILVER,0,38.0000,24.9000,138,138,52,2151.60000,2151.60000,801.020,640,640.7080,237.761,114,43.2744,0.8322,0.8322,120352,115272,3
PE,ESIKA,"201901","200029044","117019243","200088132         ","015",1343,"998",ES VANILLA HOMBRE QUP 100 ML,0,ES VANIL HO EDT QUP 100 ML,0,82.0000,52.9000,857,857,1019,28438.26000,28438.26000,33348.067,8468,8468.4053,9898.505,1997,2374.9833,2.3307,2.3307,120352,115272,3
PE,ESIKA,"201901","200029044","117019243","200088132         ","015",8207,"001",ES VANILLA HOMBRE QUP 100 ML,0,ES VANIL HO EDT QUP 100 ML,,82.0000,52.9000,857,857,1019,28438.26000,28438.26000,33348.067,8468,8468.4053,9898.505,1997,2374.9833,2.3307,2.3307,120352,115272,3
PE,ESIKA,"201901","200094401","068034245","200095493         ","126",16385,"001",ES ITS YOU PROB ENC C/P 2 ML,0,ES YOU PROB ENC 2 ML,,2.1000,1.5000,244,244,95,360.34000,360.34000,152.966,107,107.3028,45.403,75,29.4405,0.3099,0.3099,120352,115272,3
PE,ESIKA,"201901",P0292139009,"292139019","200093960         ","015",1343,"998",ES PRO LL HIDRACOLOR MATE 6ML,0,ES HID MATE LL ROSA AUDAZ,0,45.0000,28.9000,177,177,91,3175.17000,3175.17000,1626.972,945,945.5088,482.923,146,75.3753,0.8283,0.8283,120352,115272,3
PE,ESIKA,"201901",P0292139009,"292139019","200093960         ","015",8099,"001",ES PRO LL HIDRACOLOR MATE 6ML,0,ES HID MATE LL ROSA AUDAZ,,45.0000,28.9000,177,177,91,3175.17000,3175.17000,1626.972,945,945.5088,482.923,146,75.3753,0.8283,0.8283,120352,115272,3
PE,LBEL,"201901","200076160","254220032","200090433         ","003",1343,"998",LB EXL ACON RIZO 250 ML,0,LB EXL ACON RIZO 250 ML,0,35.0000,13.9000,800,800,917,8561.77000,8561.77000,10801.954,2549,2549.5420,3206.279,937,1074.7240,1.1720,1.1720,120352,115272,3
PE,LBEL,"201901","200076160","254220032","200090433         ","003",1916,"999",LB EXL ACON RIZO 250 ML,0,LB EXL ACON RIZO 250 ML,0,35.0000,12.4500,800,800,917,8561.77000,8561.77000,10801.954,2549,2549.5420,3206.279,937,1074.7240,1.1720,1.1720,120352,115272,3
PE,LBEL,"201901","200076160","254220032","200090433         ","003",15663,"001",LB EXL ACON RIZO 250 ML,0,LB EXL ACON RIZO 250 ML,,35.0000,13.9000,800,800,917,8561.77000,8561.77000,10801.954,2549,2549.5420,3206.279,937,1074.7240,1.1720,1.1720,120352,115272,3
PE,LBEL,"201901","200076160","254220032","200090433         ","003",16566,"001",LB EXL ACON RIZO 250 ML,0,LB EXL ACON RIZO 250 ML,,35.0000,12.4500,800,800,917,8561.77000,8561.77000,10801.954,2549,2549.5420,3206.279,937,1074.7240,1.1720,1.1720,120352,115272,3
PE,LBEL,"201901","200076160","254220032","200090433         ","003",1343,"998",LB EXL ACON RIZO 250 ML,0,LB EXL ACON RIZO 250 ML,0,35.0000,12.4500,800,800,917,8561.77000,8561.77000,10801.954,2549,2549.5420,3206.279,937,1074.7240,1.1720,1.1720,120352,115272,3
PE,LBEL,"201901","200076160","254220032","200090433         ","003",1916,"999",LB EXL ACON RIZO 250 ML,0,LB EXL ACON RIZO 250 ML,0,35.0000,13.9000,800,800,917,8561.77000,8561.77000,10801.954,2549,2549.5420,3206.279,937,1074.7240,1.1720,1.1720,120352,115272,3
PE,ESIKA,"201901","200056121","109191252","200088595         ","018",8242,"001",ES CARDIGAN DES ROLLON NE,0,ES CARDIGAN DESO CC 50 ML,,18.0000,9.9000,630,630,613,3853.08000,3853.08000,3857.223,1147,1147.3783,1144.915,196,191.3173,0.3121,0.3121,120352,115272,3
PE,ESIKA,"201901","200056121","109191252","200088595         ","018",1343,"998",ES CARDIGAN DES ROLLON NE,0,ES CARDIGAN DESO CC 50 ML,0,18.0000,9.9000,630,630,613,3853.08000,3853.08000,3857.223,1147,1147.3783,1144.915,196,191.3173,0.3121,0.3121,120352,115272,3
PE,CYZONE,"201901","200044012","334019017","200090430         ","030",15955,"002",CZ DANCING EDP 100 ML,0,CZ DANCING EDP 100 ML,,65.0000,0.0000,3043,3043,5035,0.00000,0.00000,0.000,0,0.0000,0.000,3906,6463.9330,1.2838,1.2838,120352,115272,3
PE,CYZONE,"201901","200044012","334019017","200090430         ","030",1343,"998",CZ DANCING EDP 100 ML,0,CZ DANCING EDP 100 ML,0,65.0000,0.0000,3043,3043,5035,0.00000,0.00000,0.000,0,0.0000,0.000,3906,6463.9330,1.2838,1.2838,120352,115272,3
PE,CYZONE,"201901","200044012","334019017","200090430         ","030",15953,"002",CZ DANCING EDP 100 ML,0,CZ DANCING EDP 100 ML,,65.0000,0.0000,3043,3043,5035,0.00000,0.00000,0.000,0,0.0000,0.000,3906,6463.9330,1.2838,1.2838,120352,115272,3
PE,CYZONE,"201901","200044012","334019017","200090430         ","030",15954,"002",CZ DANCING EDP 100 ML,0,CZ DANCING EDP 100 ML,,65.0000,0.0000,3043,3043,5035,0.00000,0.00000,0.000,0,0.0000,0.000,3906,6463.9330,1.2838,1.2838,120352,115272,3
PE,CYZONE,"201901","200044012","334019017","200090430         ","030",1343,"998",CZ DANCING EDP 100 ML,0,CZ DANCING EDP 100 ML,0,65.0000,0.0000,3043,3043,5035,0.00000,0.00000,0.000,0,0.0000,0.000,3906,6463.9330,1.2838,1.2838,120352,115272,3
PE,CYZONE,"201901","200044012","334019017","200090430         ","030",1343,"998",CZ DANCING EDP 100 ML,0,CZ DANCING EDP 100 ML,0,65.0000,0.0000,3043,3043,5035,0.00000,0.00000,0.000,0,0.0000,0.000,3906,6463.9330,1.2838,1.2838,120352,115272,3
