"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","210093441","K COLLAR COMERCIAL (DISP 16)","UNI","P0599002925","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093442","K COLLAR COMERCIAL (DISP 17)","UNI","P0599002926","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093443","K COLLAR COMERCIAL (DISP 18)","UNI","P0599002927","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093444","K COLLAR COMERCIAL (DISP 19)","UNI","P0599002928","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093445","K COLLAR COMERCIAL (DISP 20)","UNI","P0599002929","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093446","K COLLAR COMERCIAL (DISP 21)","UNI","P0599002930","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093447","K COLLAR COMERCIAL (DISP 22)","UNI","P0599002931","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093448","K COLLAR COMERCIAL (DISP 23)","UNI","P0599002932","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093449","K COLLAR COMERCIAL (DISP 24)","UNI","P0599002933","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093450","K COLLAR COMERCIAL (DISP 25)","UNI","P0599002934","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
